,text,codes
67,"Under President Trump, Americans enjoyed prosperity.

Under Joe Biden, Americans experience financial hardship.",[0]
68,"Just read an article about underpolling because of ""silent Trump voters."" For those voting for Harris, don't you think it's a problem that your side is so vitriolic and hateful that Trump voters feel the need to hide it to avoid retribution or cancelation?",[27]
69,"Join me in urgent prayer as we approach our election on November 5th. Our nation’s future is on the line, and now more than ever, we must stand strong, speak boldly, and vote for Republican leaders who will protect our values, freedoms, and children’s futures.

Father, we cry out for Your wisdom and truth today. Give us clarity and insight to know what is right and essential. Strengthen us to walk boldly in Your truth and guard our steps as we stand for what is right (Proverbs 2:1-8).

Forgive us for the times we’ve relied on our strength instead of Yours. Anchor us in faith, and let our voices be clear and unwavering so that others will hear Your truth through us.

Today, we lift up the young people of our nation. Open their eyes to see the urgency of this moment—that their future, their freedoms, and the direction of our country are at stake. Give them the courage to vote for Republican leaders who will uphold these principles and lead with integrity. Help them recognize the truth amid confusion and see the importance of voting to secure the future You desire for this nation.

We intercede for a nation that has wandered. Turn our hearts back to You and give us the courage to speak up and vote for leaders who will defend our values and protect our freedoms. Surround us with wise counsel and lead us forward with boldness.

Father we ask for your protection for our nation, state, families, communities and for Donald J. Trump,

In Jesus’ name we pray,

Amen.

Dennis W Futch
Chairman GAGOP RVT",[0]
70,"Are you better off now than you were 4 years ago ? If you don’t know the answer to that & you need a democrat, fake news media, manipulated 90 minute debate to determine that, then you’re not worthy of voting !
Both men, Trump & Biden have been president for 4 years & the record is clear.
One man is a self made billionaire patriot who loves his country & the other man, is a charlatan, demagogue who sold his country for money !
One man is a strong , well spoken, energetic non politician & the other a corrupt , failed, career politician who has never held a job in his life !
One man is an effective domestic & foreign policy leader, the other is a feeble, imposter, wishy washy body with severe cognitive failure & mental disability.
After experiencing these approximate 8 years & the performance & record of each man, no one should be in doubt for even a second, that Trump is by far the better man for the job !
The democrat machinery & the fake, main stream media industrial complex will tell you otherwise & spin the truth but do not be fooled or tricked by their propaganda or their treachery !","[29, 30]"
71,"THE INSANE SPLIT-SCREEN OF TRUMP-ERA USA: As Trump and Republicans claim that the law and all of government have been weaponized against them when Trump is held accountable for crimes and misconduct that they would be appalled by if they weren’t the perpetrators (“lawfare” – what a joke), and they ridiculously parrot that Biden is the most corrupt and inept president in history (projection alert) … Biden’s son goes to trial on federal gun charges brought by the Department of Justice that Republicans have claimed is corrupt under Biden (projection alarm blaring). -- And what does Biden do? Does he act like Trump, corruptly intervening to quash the trial? Pardon his son? Denounce the trial and everyone associated with it as corrupt or out to get him? No – he acts like any decent citizen and lets the rule of law run its course.

This is reality, but everything’s the opposite with Trump and his toadies. Aside from their screw-job policies – do you want to live in a world where everything’s inverted, twisted, distorted? Where every true fact is constantly contested by megaphone liars with the reach to hoodwink millions; where it’s impossible to agree on anything – even things we can all see with our own eyes – because liars politicize everything? Do you want to live in a world where total frauds are telling us what the truth is? Where liars are called honest and normal people are called liars?

Forget our real-world differences, which would be the legitimate stuff of politics – a country can’t succeed if it is insane. And the stuff that many people in this country believe is bonkers. Yet the same people who think Joe Biden can’t say a sentence and craps his pants, and who think that the whole government has suddenly become corrupt and everything is falling apart even though everything in their lives is the same as it always was – these riled-up people will scream in your face that YOU’RE nuts, that YOU’RE brainwashed.

This insanity is unsustainable. It doesn’t work. We’re growing less competent and capable as a society with every passing day that Republican cynics keep lying on an industrial scale and keep demonizing all the rest of us – brainwashing THEMSELVES into believing things that remove any basis for working together – as a pretext for doing whatever they want.

Give me a slate of SANE REPUBLICANS WHO TELL THE TRUTH and I’ll support them, even though I disagree with every damn thread of their worldview, just to save the country, and the world, from the scourge of people who pollute our collective mind with systematic lies and cynicism.

We have to turn off the distortion to keep our society. That’s no hyperbole. Regimes based on lies first corrode the institutional obstacles to power, then impose their phony reality and rule by force, then use violence to enforce their incompetent rule, and ultimately destroy the society in war as the increasingly incompetent and violent society devolves into a fight over the spoils.

Republicans have, in a sense, basically just decided to skip ahead to the fight for the spoils because they don’t want to share the future with us even if it would be more prosperous – if they’re not solely in charge of it, they’d rather carve up the world they’re still just hanging onto than divvy up the future with all of us. They don’t even want to share reality with us, because the reality is that, together, they’re not calling all the shots anymore. So they’ve just built their own reality and they’re trying to make it win.

But that’s a betrayal of all the rest of us in society. And it’s a false promise to everyone who buys into it. Winning my ass – you can’t bestride the world when you’re committed to upholding lies. It holds you back, forces you into stupidities. You can’t outcompete serious competitors with a society based on validating whatever bullshit needs to be true to make sense out of a Trump speech.

It’s obvious this doesn’t work and never can work in the long run. The only reason it hasn’t ended in ruin already is because the society has a lot of assets to burn before it starts running ragged. Disagree all you want on where we want this country to go in a sane future, but we’re not going anywhere but down-in-flames if we hand this place back over to people who play politics by building a worldscape of bullshit. BEAT THE DISTORTION.",[0]
72,"The senile traitor, corrupt, Biden, master of the failed Bidenomics & build back better programs has agreed to debate Trump, the American patriot businessman , master of Make America Great Again or MAGA !
“ Come on man, make my day pal” !
Which serious leader even talks this way wearing his stupid sunglasses half the time ?
He accepted to do the debates with so many conditions that it is embarrassing !
Trump chalenged him saying “ anywhere, anytime, any place “ never saying “any condition” & then Biden took his time with accepting with totally imbalanced & unfair conditions.
Both the network, CNN & the so called moderators, interviewers are corrupt & part of the propaganda machinery of the democrats . The second debate is also with a left wing news channel & left wing democrat puppets ! The fake news media channels & hosts might get some viewership on those two debate nights for a change.
The fool,Biden, is so weak that I wonder if he will cheat with pre planted questions
by the two networks ! The rules certainly allow such a thing to happen !
Cheating is the democrats’ way & they keep on perfecting it !
I think they forgot one other condition !
Allow Biden a break for diaper change !","[10, 24, 30]"
73,"t-Rump is distancing himself not from Project 2025 because it started to backfire on him.

He will say and do ANYTHING to make sure he obtains presidential power.

He will pick Project 2025 back up once elected.",[10]
74,"ACTIONS SPEAK LOUDER THAN WORDS. SHELDON WHITEHOUSE HAS CHOSEN TO BENEFIT THE WEALTHY! BUT NOT THE LITTLE GUY!

Sheldon Whitehouse has been in the Senate for 18 years, and he wants us to believe that in all those years, despite filibuster proof majorities in Congress, he just hasn’t been able to clean up the loopholes in our tax code. He must think we are mushrooms!

When the Republicans and President Trump passed the Tax Cuts and Jobs Act in 2018, they include a provision capping SALT, the State and Local Tax deduction. The previous unlimited SALT deduction generously benefited wealthy individuals in high taxed states and transferred the federal tax burden to the working class in lower taxed states.

The new cap in the TCJA limited the amount of money a taxpayer could claim on their federal tax filing for state and local taxes to $10,000. Now for most of us taxpayers, that’s easy. But if you are wealthy and pay state income taxes and have expensive homes that are also high taxed, it was an unwelcome change. Those wealthy taxpayers could no longer deduct their elevated state income and property taxes. They were required to pay more taxes to the federal government, and they were angry.

Closing the SALT loophole meant that the federal government brought in more revenue from high income earners. That money was used to give middle class taxpayers a tax cut. The average family was able to keep $2000 in their paychecks, money that they are using to make their lives better.

To hear the Democrats talk about it, you would think that the wealthy were the ones that benefited the most. But that just isn’t true. Average taxpayers kept more of the money they work so hard to earn.

Two years ago, Sheldon had the opportunity to keep the SALT cap as part of the Inflation Reduction Act’s tax code changes. Shamelessly, he chose to let the cap expire, thereby reopening the loophole that Trump had closed. The wealthy now stand to benefit from a huge tax break in 2025.

Sheldon has made sure that the high-income earners that he rails against get to deduct those state and local taxes from their federal income tax returns once again. It’s the opposite of what he would have us believe.

There are other taxes that he has promised to increase. Eliminating the step-up in cost basis on estates in one of the most insidious. Older Americans have built up substantial wealth in their homes and retirement savings. Sheldon Whitehouse wants a big chunk of it. He intends to seize it from heirs using changes in the estate tax. He already voted for it in 2021. The bill failed by only 2 votes. Sheldon won’t let that happen again if the Democrats have a larger majority.

The step up in cost basis means that heirs don’t pay income taxes on the home or assets that their parents leave to them. When people own a home for 30-40 years it can easily appreciate by $400,000 or more, especially in the current high inflation environment.

Democrats wanted to tax that gain at 44%. Under that scenario, an heir would have to pay $176,000 to keep their parent’s home. In most cases, it would mean they would have to borrow. That’s a huge burden to place on a family. Sheldon already voted for it in 2021; he will gladly vote for it again.

Don’t pretend the wealthy will suffer. They will have accountants and attorneys to secure their homes and assets from the tax man. But everyday people will not. Kamala Harris agrees with Sheldon, she intends to make changes to the estate tax to raise more government revenue. Together she and Sheldon have plans that will impose hardship on everyday Rhode Island families.

The dishonesty with which Sheldon Whitehouse declares that he wants to tax only those making over $400,000 is stunning. His actions tell a different story.",[0]
75,"ATTENTION: This election is close and you could make the difference! Please take a moment to read some facts about Kamala Harris and then share this post with your friends>>>>

FACTS:

1) Harris backed downgrading illegal border crossings to a civil offense, weakening our defenses against serious criminals.

2) Under Harris, illegal immigrant crime has spread across the nation, with skyrocketing rates of theft, assault, and even murder.

3) As a Senator, Kamala Harris tried to take $220 million out of ICE’s Enforcement Division.

4) The cost of everyday household items has surged nearly 20% under Kamala’s watch, with families now paying as much as 50% more at the gas pump.

5) Consumer prices have soared by 19.5% since Harris took office, a staggering 350% increase compared to Trump's tenure, revealing the depth of economic deterioration under her leadership.

America deserves better than Kamala Harris' failed policies.

Learn more at and see for yourself her record!",[10]
76,"Dear Truthout Community,

If you feel rage, despondency, confusion and deep fear today, you are not alone. We’re feeling it too. We are heartsick. Facing down Trump’s fascist agenda, we are desperately worried about the most vulnerable people among us, including our loved ones and everyone in the Truthout community, and our minds are racing a million miles a minute to try to map out all that needs to be done.

We must give ourselves space to grieve and feel our fear, feel our rage, and keep in the forefront of our mind the stark truth that millions of real human lives are on the line. And simultaneously, we’ve got to get to work, take stock of our resources, and prepare to throw ourselves full force into the movement.

Journalism is a linchpin of that movement. Even as we are reeling, we’re shoring up all the energy we can to face down what’s coming, because we know that one of the sharpest weapons against fascism is publishing the truth.

There are many terrifying planks to the Trump agenda, and we plan to devote ourselves to reporting thoroughly on each one and, crucially, covering the movements resisting them. We also recognize that Trump is a dire threat to journalism itself, and that we must take this seriously from the outset.

Last week, the four of us sat down to have some hard but necessary conversations about Truthout if Trump were to win. How would we defend our publication from an avalanche of far right lawsuits that seek to bankrupt us? How would we keep our reporters safe if they need to cover outbreaks of political violence, or if they are targeted by authorities? How would we urgently produce the practical analysis, tools and movement coverage that you need right now -- breaking through our normal routines to meet a terrifying moment in ways that best serve you?

It will be a tough, scary four years to produce social justice-driven journalism. We need to deliver news, strategy, liberatory ideas, tools and movement-sparking solutions with a force like never before. And at the same time, we desperately need to protect our ability to do so.

We know this is such a painful moment and donations may understandably be the last thing on your mind. But we must ask for your support, which is needed in a new and urgent way.

We promise we will kick into an even higher gear to give you truthful news that cuts against the disinformation and vitriol and hate and violence. We promise to publish analyses that will serve the needs of the movements we all rely on to survive the next four years, and even build for the future. We promise to be responsive, to recognize you as members of our community with a vital stake and voice in this work.

Please dig deep if you can. A donation of any amount will be a truly meaningful and tangible action in this cataclysmic historical moment.



We’re with you. Let’s do all we can to move forward together.

With love, rage, and solidarity,
Maya, Negin, Saima, and Ziggy",[0]
77,"This been weighing on my mind heavy since Trump decided to say what he wanted to say.

Since when have Haitians ever been ashamed or afraid of what we eat? If we ate cats, they’d be on every menu, and it would be the best-tasting cat you’ve ever had! Let’s not pretend other countries South Korea, Malaysia, Taiwan, Vietnam..don’t openly have cats and dogs on display in their markets. As Haitians, we aren’t ashamed of our culture. Sure, there may be a few individuals who eat them, but it’s not part of our tradition. And if it were, trust me, it’d be the best there is.

But let’s not get distracted. This is just another attempt to divert us from the real issues our people face. Now more than ever, we need to stand together as Haitians and focus on the challenges that matter… building our communities, protecting our culture, and strengthening our nation.",[29]
78,"Mi compa : Hey Si GaNa TrUmP mañana no hay clases

Yo: We EsTaMoS En México No Mamsss jajajjaja",[0]
79,"GOOD MORNING FRIENDS & FELLOW PATRIOTS.

More optimism by the day for our Country and South Dakota. Don’t you just feel better and more optimistic by the day?

Donald Trump and his team will make America greater than ever before.

We will make South Dakota greater than ever before.

South Dakota is a great place to live. But there are always improvements to be made. We need to:

-make our state government more efficient.
-offer more educational choices for parents.
-make living more affordable for all our citizens.
-lower property taxes
-better educate our high school graduates about career options
-keep more young people in SD rather than moving to other states.

This would be a great start! Let’s make South Dakota Better Than Ever.",[0]
80,"#KamalaHarris is not gloating Dick Cheney endorsement anymore; Muslim vote has completely abandoned the DNC.

Majority of Jews in New York are apparently voting for Trump for the first time ever.

She lost both groups trying to split the baby.

#election","[12, 27]"
81,All 4 years Trump submitted a budget to cut Social Security and Medicare and the only reason he didn’t get it was the Democrats.,[3]
82,"Trump is trying to ""steal your democracy"" by running for office.

Meanwhile, Democrats are. . .

➡️ Controlling the news media keeping the public uninformed

➡️ Importing millions of fake asylum seekers to political battleground states to create one-party Democrat rule.

➡️ Take away your firearms.

➡️ Pack the Supreme Court with liberal judges

➡️ Remove the filibuster to neuter the minority party.

➡️ Censor and jail dissenters as ""misinformation”.

➡️ Bankrupt and jail independent political voices.

➡️ Maintain a voting system that cannot be fully audited, by design.

➡️ Fake pollsters support any suspicious vote outcomes.

➡️ Weaponize assassins of political opponents via media messaging.

(@scottadamssays - X)","[22, 24, 29]"
83,"Once again, with divine intervention, another assassination attempt on President Trump’s life was avoided !
The suspect had a GoPro camera, which in my opinion, was to show proof of a successful attempt.
Whereas Kamala Harris is a dream candidate for China, Russia, Iran & Venezuela & other unfriendly countries of the United States, Trump is the exact opposite ! They fear & respect Trump & his leadership & America First policies !
They fear his no nonsense foreign policy & his strength when facing enemies of the USA ! He meets with allies & foes in a businesslike manner & consistency with a steady but firm hand !
Trump also has many enemies within the country, who fear him becoming President again !
The “ Swamp” & “ The Deep State” know he is not a part of them.
They prefer an” insider” no matter how corrupt & destructive of the country !
It will be a miracle if he is elected !
Foreign powers & domestic powers will do anything to stop him ! Iran already tried to back up an assassination plot against Trump !
The menu consists of assassinations, cheating & rigging in the elections & changing all rules governing the elections or even another pandemic !
This is just an experienced & common sense opinion resulting from 8 years of Trump bashing, vilifying, demonizing, smearing, illegitimate indictments & court proceedings & made up Russian Collusion, two phony impeachments, J6, fabricated lies & fake news & propaganda by the leftist democrats against Trump ! They have called him dictator, a threat to democracy, Hitler & that he will make a blood bath if re-elected. He has been slandered & persecuted relentlessly.
They fabricate lies & propaganda to distract & weaken Trump from having a fair election.
Project 2025 is the latest manipulated lie about Trump, to have him on the defensive & to distract his time & energy !
One of the most repulsive & corrupt members of the deep state is the main stream media !
God help us !","[10, 24]"
84,"Author
Dr. Rick Allen, Author
IF YOU ARE A PATRIOT, YOU WILL HEED THESE WORDS FROM THOSE WHO WORKED CLOSELY, FACE-TO-FACE, WITH DONALD TRUMP and THOSE WHO SAW HIS IMPACT...........

GIVE THESE OBSERVATIONS SOME VERY SERIOUS THOUGHT BEFORE YOU VOTE.

First, this reminder: Trump himself said when he ran for office in 2016 that he was ""going to surround myself with only the best and most serious people.""

FROM 4 STAR ⭐️⭐️⭐️⭐️ Marine GENERAL James Mattis, hired by Trump as Secretary of Defense: "" [Trump] has no moral compass; a misguided form of nationalism; beyond stupid to felony stupid"" and that's when I resigned.

FROM 4 STAR ⭐️⭐️⭐️⭐️ Army GENERAL Mark Milley, served as Trump's Chair of the Joint Chiefs of Staff: ""We don't take an oath to an individual, we take an oath to the Constitution. [Trump] is a wannabe dictator.""

FROM 4 STAR ⭐️⭐️⭐️⭐️ Marine GENERAL John Kelly, hired by Trump to be his personal Chief of Staff: ""[Trump] is a deeply dishonest person who has no idea what America stands for. The most flawed person I've ever met.""

FROM 4 STAR ⭐️⭐️⭐️⭐️Army GENERAL H.R. McMaster, hired by Trump as his National Security Advisor: ""[Trump's] failure to condemn white supremacy “gives space to these groups that foment hatred and intolerance.”

FROM Dan Coats, hired by Trump as his Director of National Intelligence (two photos, sorry): ""He doesn't know the difference between the truth and a lie.""

FROM 4 STAR ⭐️⭐️⭐️⭐️ Navy Admiral William McCraven, Commander, US Special Operations, Seal Commander who took out Osama bin Laden and coordinated the capture of Sadaam Hussein: Trump's comments ""may be the greatest threat to democracy in my lifetime.""

FROM 4 STAR ⭐️⭐️⭐️⭐️ ARMY GENERAL Barry McCaffrey. He received three Purple Heart medals for injuries sustained during his service in the Vietnam War, two Silver Stars, and two Distinguished Service Crosses—the second-highest United States Army award for valor. He was inducted into United States Army Ranger Hall of Fame at the United States Army Infantry Center :
[Trump] ""is a serious threat to USA national security.""

CIA Director Gina Haspel, Trump's CIA choice: Haspel said Trump's post-election behavior was 'insanity' and he was 'acting out like a 6-year-old with a tantrum.""

These statements are all in the public domain and can be easily verified.

IF THESE PROVEN LEADERS, HIGHLY QUALIFIED, HIGHLY DECORATED, COMBAT PROVEN WARRIORS ARE SAYING THESE THINGS ABOUT Trump, DOES IT REALLY MAKE SENSE TO BE VOTING FOR HIM, OR THOSE WHO SUPPORT HIM? Seems pretty illogical, right?

If you truly want to ""drain the swamp,"" given these consistent comments from American heroes, it might be smart to aim at the right (far right?) target.",[10]
85,"Prosecuting women crossing state lines for health care is the type of thing that my republican opponent will fall over themselves to vote for.

“It’s going to be up to the states whether or not they set up regimes to monitor women’s pregnancies so they can prosecute them for getting out of state abortions.” -Trump Aid Jason Miller in a recent Newsmax interview.",[0]
86,"<span>The trial and verdict on Trump is a screaming siren of desperation by the deep state and leftists.<br> <br> They obviously will do anything and everything to stop Trump and continue the destruction and looting of the USA.<br> <br> If they can weaponize the courts against Trump, there really is no hope for regular citizens.</span>",[24]
87,"EVERY IMMIGRANT IS MORE AMERICAN THAN TRUMP
The only thing “American” about Trump is his brand of tackiness. In every other way he is indistinguishable from sociopathic conmen from anywhere. His ethnonationalist ideas are imported from Europe. His admiration for dictators is about the most un-American thing imaginable. His instrumentalization of lying, demonizing his rivals, whipping up disgust and hatred to win the support of one group as defined against another are from an ancient playbook that is as generic as Trump’s smarmy smirk.

Every showman-demagogue plays to his particular audience, but Trump is no more authentic than a Beantown crooner who yells “I love you [checks notes] Cleveland!” He talks about “Making America Great” because his concert-revival-Klan-rally roadshow is touring America and it’s the only place his American-styled shtick would work. If he could pull it off, he’d “Make Australia Great” just as willingly, because it’s all about him anyway. (Just imagine if, 20 years ago, Trump had somehow become more famous in another country than in the US – does anyone think he would give a damn about the US at this point? He’d be talking about what a bunch of losers we are for not recognizing his specialness.)

America is a land of immigrants. More than that, it is a land of people from everywhere. That is its unique strength. Trump’s Old-World nationalism is the ultimate self-own. What makes America smart, innovative and resilient is our pluralism – having to jostle and compete with and learn from people who think and live differently in order to succeed.

Trump might want to break into the old money like some pathetic nouveau-riche wannabe begging to get into the country club, but America should be itself and stick to what it’s better at than other places – continuous renewal. Letting newcomers be a part of the country – engaging in the interplay between what people already love about it and new stuff that people come to love –instead of treating them like perpetual foreign objects. The assimilation that nativists always demand of newcomers is actually about the attitude of the receiving society – people don’t assimilate when society says “nope, you’ll never be part of us, just give us your cheap labor.” Just ask Europe how that works out. We do it better – or at least we used to.

That’s Trump’s musty, stupid idea of making America great. What a joke. The reality is that America is better than him, and it’s because that ancient shit, while ever-present, has never won the day.

America is a New-World country with a new kind of society – a mishmash of everyone. That’s the secret to the country’s success, the thing that sets America apart. It’s the reason the US can outcompete countries that no foreigners want to live in, or where they can only ever be outsiders looking in on a society that won’t accept them. And it’s the foundation of our claim to being less shitty and cynical than global rivals in spite of everything – because no matter how much rot exists in our system and how much our government does Realpolitik on the world stage, the base of it is a melting-pot of the whole world. People demanding that the promise of America be fulfilled.

Trump and his damned confederates want to claim all that for themselves alone and act like they made it happen. It’s time to send those self-aggrandizing, self-serving fools packing before they totally ruin the place.",[0]
88,"Dear Truthout Community,

If you feel rage, despondency, confusion and deep fear today, you are not alone. We’re feeling it too. We are heartsick. Facing down Trump’s fascist agenda, we are desperately worried about the most vulnerable people among us, including our loved ones and everyone in the Truthout community, and our minds are racing a million miles a minute to try to map out all that needs to be done.

We must give ourselves space to grieve and feel our fear, feel our rage, and keep in the forefront of our mind the stark truth that millions of real human lives are on the line. And simultaneously, we’ve got to get to work, take stock of our resources, and prepare to throw ourselves full force into the movement.

Journalism is a linchpin of that movement. Even as we are reeling, we’re shoring up all the energy we can to face down what’s coming, because we know that one of the sharpest weapons against fascism is publishing the truth.

There are many terrifying planks to the Trump agenda, and we plan to devote ourselves to reporting thoroughly on each one and, crucially, covering the movements resisting them. We also recognize that Trump is a dire threat to journalism itself, and that we must take this seriously from the outset.

Last week, the four of us sat down to have some hard but necessary conversations about Truthout if Trump were to win. How would we defend our publication from an avalanche of far right lawsuits that seek to bankrupt us? How would we keep our reporters safe if they need to cover outbreaks of political violence, or if they are targeted by authorities? How would we urgently produce the practical analysis, tools and movement coverage that you need right now -- breaking through our normal routines to meet a terrifying moment in ways that best serve you?

It will be a tough, scary four years to produce social justice-driven journalism. We need to deliver news, strategy, liberatory ideas, tools and movement-sparking solutions with a force like never before. And at the same time, we desperately need to protect our ability to do so.

We know this is such a painful moment and donations may understandably be the last thing on your mind. But we must ask for your support, which is needed in a new and urgent way.

We promise we will kick into an even higher gear to give you truthful news that cuts against the disinformation and vitriol and hate and violence. We promise to publish analyses that will serve the needs of the movements we all rely on to survive the next four years, and even build for the future. We promise to be responsive, to recognize you as members of our community with a vital stake and voice in this work.

Please dig deep if you can. A donation of any amount will be a truly meaningful and tangible action in this cataclysmic historical moment.



We’re with you. Let’s do all we can to move forward together.

With love, rage, and solidarity,
Maya, Negin, Saima, and Ziggy",[0]
89,"<span>CNN\xe2\x80\x99s John Avlon (D-Manhattan) talks about \xe2\x80\x9creaching across the aisle\xe2\x80\x9d if he makes it to Washington. <br> <br> But for the past six years on CNN, he\xe2\x80\x99s labeled Trump supporters as \'delusional\' and called Republicans \'insane.\'<br> <br> Let\xe2\x80\x99s be clear: Avlon, with his Yale and Columbia degrees, isn\xe2\x80\x99t dumb. He\xe2\x80\x99s just hoping we are. Don\xe2\x80\x99t fall for it.</span>",[0]
90,Take the quick poll to help Trump win in 2024. Get your Free Flag and Hat now! #Trump2024,[0]
91,"RINO Dusty Johnson is running a new ad that claims he ""will always put America First"".

Was Dusty putting America First when he voted to override President Trump's border emergency declaration in 2019? Or when he was voting for the January 6th witch hunt committee against Trump's biggest allies? Or when he voted to force your daughters to sign up for the draft?

Dusty Johnson, fighting alongside his friend Liz Cheney, has been one of the biggest ENEMIES of President Trump and his movement to put America First.

South Dakotans aren't fooled, Dusty.",[22]
92,"🚨We need to talk about the CCCP.

No, I’m not talking about the Soviet Union– I’m talking about the so-called “Commonwealth Conservative Coalition PAC.” Despite its deceptive name, it’s actually a coalition of RINO swamp rats who are running campaign ads against the most conservative legislators in the General Assembly.

This is the first time I have ever used the word “RINO” in public parlance, and I am hopeful that readers will understand the gravity of the situation. It disgusts me that the PAC was named “Commonwealth Conservative Coalition”, but it’s clear to me exactly why they did it. They knew they couldn’t attack authentic conservatives with a progressive-sounding name—it’s a blatant attempt to fool you. They assume that republican voters are stupid and easily tricked, so write this name down and don’t forget it.

This group is flush with the dark money that you hear about on TV. It’s real, and it’s being spent here in the Commonwealth. Who is contributing to this group?

•The radical left Louisville teacher’s union ($200k)
•The Kentucky Hospital Association ($50k)
•Churchill Downs ($200k)
•Out-of-State corporations such as Carvana, AirBnB, and others ($45k)

So why is the Louisville Teacher’s Union that spent hundreds of thousands of dollars re-electing Andy Beshear and pushing to allow boys to compete in girl’s sports…playing in Republican primaries?

Because they want to elect democrats who are masquerading as republicans; nanny state progressives who will do their tax-and-spend bidding! They know they need to trick authentic republican voters to accomplish that. These same hypocrites and the candidates they support despise Donald Trump, yet they run campaign ads featuring him because they think you’ll be dumb enough to fall for it.

With all of that said, these ads aren’t being targeted against me- so why do I care? I care because I don’t want you to be fooled, Kentucky. Regardless of which candidate you support in a primary, I implore you to do your research and not rely on what the Frankfort Deep State pays big money to tell you. Don’t relinquish your sacred vote to uniparty hacks who have no shame in teaming up with liberal democrats just to gain power.

We have a supermajority in the General Assembly, and we have a majority of registered republican voters, but what good does it do if we are not actively fighting for the principles of limited government and electing representatives who will do the same?

Folks, this is uncharted territory. Democrats have lost virtually all power in Frankfort with a veto-proof republican supermajority. Instead of trying to win back seats on the Democrat platform, they have joined hands with liberal republicans to defeat real conservatives.

Choose wisely on May 21st, and don’t be fooled by Limousine Liberals and RINOs who are working together to silence true conservatives! 🇺🇸",[10]
93,"6,000,000,000.00 billions
Because this is the problem you see all the dollar signs on this message. Trump is a multi billionaire and this is the problem with people that are rich people see opportunity if you accuse somebody of something and it’s reported everybody automatically believes it’s true. This is the same exact thing they did to Michael Jackson, but yet never found anything showing  He was guilty of anything, but they ruined him because he was trying to protect his name and he was pretty much bankrupt when he died because the mainstream media reports crap because the Democrat party is in control of what they want printed and said, and if you don’t go along with the program, this is what they do to you and being a billionaire. I just don’t see a billionaire going around and raping people and along with all these other bogus charges ,   considering  what he could lose. He has a lot more to lose  than they do and you have people out here that are always looking for opportunities and a lot of this is just plain common sense, but like there is 1 million ways to look at something and a lot of times you just have to make up your own mind what’s right in your heart. And the main reason I support Donald Trump is because I don’t believe we should have open borders. I don’t feel we should have all these illegals coming in and now give them free housing and medical for the taxpayers to pay for, I don’t like people being murdered and raped by all these individuals daily, I don’t believe in defunding the police. I think we need more police and we need to give them whatever’s needed to do their jobs and keep us safe. I don’t believe kids should be able to have sex change operations and their parents have no say over it and that’s what Harris supports. Tim Walz is OK with putting tampons in boys restrooms and locker rooms which is disgusting not even mentioning all the other stuff he’s lied about how his wife got pregnant his military background we can’t have someone running the country that can’t even be honest about stuff is simple as . I don’t believe that guys that change himself into a  women should be playing in women’s sports and I’m tired of paying almost 5 dollars a gallon for gas and where you used to go to the store and spend $100 on grocery is now costing me 300 and this list can go on and on . And the Democrat party has not done anything to solve these issues. They make all these promises that they’re going to fix it but there’s no proof and the woman won’t even give an interview. She is hiding until November. But like I said, this is the country we live and we’re free to think what we like and choose the person we feel we want to run our country and she is not the answer…","[24, 27]"
94,"Establishment Republicans talk about unity all the time

John Thune, Mike Rounds, Dusty Johnson. - I have disagreed with many of their policies over the years, but if any of these three individuals were the nominee for president of the United States for the Republican party, I would 100% support them vs. Kamala Harris, and the left wing regime.

So why are people like Dusty Johnson, Lee Schoenbeck, Will Mortensen, Casey Crabtree, Michael Rohl, & other South Dakota Republicans NOT supporting Donald Trump for president?

this begs the question, why does this group of individuals want Kamala Harris to be our next president?",[10]
95,SHARE if you want to restore America to the greatness it once was under Donald J. Trump!,[0]
96,"Latest Quinnipiac Poll

WISCONSIN:

Harris - 48%
Trump - 48%",[0]
